feature,importance
sensor_20_roll_std,0.12264138885978033
sensor_12_roll_std,0.11684872347776207
sensor_8_roll_std,0.10096886589607812
sensor_4_roll_std,0.09473466346159577
sensor_16_roll_std,0.0857873852598921
sensor_4_spectral_energy,0.059586334913543745
sensor_10_roll_std,0.03654775985361092
sensor_14_roll_std,0.02243486821957316
sensor_5_roll_mean,0.020999895678377112
sensor_5,0.018956421019545762
sensor_9_roll_mean,0.01894865764332465
sensor_9,0.018186419954423265
sensor_6_roll_std,0.016464200535570177
sensor_18_roll_std,0.01617076919323233
sensor_17_roll_mean,0.013551698517255696
sensor_17,0.013278277192703605
sensor_5_spectral_energy,0.012816452530332083
sensor_21_roll_std,0.011880091252393523
sensor_14_roll_mean,0.010796099607209023
sensor_5_roll_std,0.0106378006125628
sensor_6_roll_mean,0.010404168044927147
sensor_1_spectral_energy,0.01036876492571645
sensor_2_roll_std,0.009795047444383437
sensor_2_spectral_energy,0.008861318831657191
sensor_13,0.008426057377676658
sensor_13_roll_mean,0.008360117741696309
sensor_18_roll_mean,0.007827706497895527
sensor_14,0.0077640852086841555
sensor_13_roll_std,0.007694736119612405
sensor_6,0.00722684672119948
sensor_21_roll_mean,0.0071689039222827735
sensor_1_roll_mean,0.005858578104526703
sensor_10_roll_mean,0.004989635615464626
sensor_18,0.004251643747560279
sensor_1_roll_std,0.004127889106160662
sensor_1,0.0038340946307369016
sensor_21,0.003708781832807736
sensor_2_roll_mean,0.0035665413707726083
sensor_17_roll_std,0.003537730062786016
sensor_19_roll_mean,0.002578315324516027
sensor_9_roll_std,0.002481818102928391
sensor_3_roll_mean,0.0020076578334486225
sensor_16_roll_mean,0.0018707115360526046
sensor_10,0.0018582187809246095
sensor_8_roll_mean,0.0017896861666391365
sensor_15_roll_mean,0.001743182685158019
sensor_4_roll_mean,0.0015254028094766599
sensor_2,0.0014737892083149832
sensor_7_roll_std,0.0014029518652987547
sensor_11_roll_mean,0.0014004986407183946
sensor_11_roll_std,0.0013284342314317664
sensor_19_roll_std,0.0012025885249034348
sensor_20_roll_mean,0.0011661858541569196
setting_3,0.0010846489609582341
sensor_11,0.0010059672059610587
sensor_12_roll_mean,0.0009725814952902514
setting_1,0.0009678503915977913
sensor_7_roll_mean,0.0009605449624660125
sensor_3,0.0009248860419486749
sensor_2_trend,0.0009057079752749057
sensor_8,0.0008818409947331172
setting_2,0.0008567918833363109
sensor_19,0.0008476352865447001
sensor_16,0.000828901302218881
sensor_15_roll_std,0.0008011151076645736
sensor_3_spectral_energy,0.000783027266348839
sensor_3_roll_std,0.000775257599745404
sensor_15,0.0006945453251329161
sensor_7,0.0006767104055437767
sensor_10_trend,0.0005560683663480343
sensor_6_trend,0.000550510876690502
sensor_18_trend,0.0005462644683327773
sensor_5_trend,0.0004645310693826624
sensor_9_trend,0.0004506998602658325
sensor_7_trend,0.0004339213767107909
sensor_20,0.00042729635016278654
sensor_14_trend,0.00042300166107501656
sensor_21_trend,0.00040363123098182514
sensor_21_delta,0.00039214624632727434
sensor_12,0.00038869209915906073
sensor_13_delta,0.0003736944093261411
sensor_4,0.00037360873144164406
sensor_17_trend,0.00036947602761730036
sensor_15_trend,0.0003636386709139967
sensor_19_trend,0.00035383555261436745
sensor_3_trend,0.0003073989130891977
sensor_11_trend,0.0003043626085411695
sensor_13_trend,0.0002994400824367564
sensor_17_delta,0.00027703057943948803
sensor_2_delta,0.0002493684792474602
sensor_19_delta,0.00024461584318713795
sensor_10_delta,0.0002339674013228157
sensor_7_delta,0.00023296054542376834
sensor_11_delta,0.00022230250096724803
sensor_16_delta,0.0002212897208366492
sensor_12_delta,0.00021526052704312954
sensor_4_delta,0.00020857404443083718
sensor_20_delta,0.0001860921254258561
sensor_6_delta,0.00018463125263214994
sensor_1_delta,0.00017630895516027213
sensor_3_delta,0.00016243848936240094
sensor_18_delta,0.0001569151487398463
sensor_5_delta,0.0001567537416174898
sensor_1_trend,0.00015143945484899022
sensor_9_delta,0.00015086964989594978
sensor_16_trend,0.00014511897061559754
sensor_14_delta,0.00014139106177916947
sensor_8_trend,0.00013329351136192395
sensor_20_trend,0.00012463894967483272
sensor_8_delta,0.00012023097006455382
sensor_12_trend,0.00011578577698077878
sensor_15_delta,0.00010820896957701795
sensor_4_trend,9.141997490060637e-05
